club,asset,wikimedia_file,direct_url,license,wikipedia_page
colorado-rapids,kit-away,File:Kit body colorado25a.png,https://upload.wikimedia.org/wikipedia/commons/0/03/Kit_body_colorado25a.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC0,Colorado Rapids
colorado-rapids,kit-third,File:Kit body colorado25t.png,https://upload.wikimedia.org/wikipedia/commons/4/43/Kit_body_colorado25t.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC0,Colorado Rapids
colorado-rockies,crest,File:Colorado Rockies full logo.svg,https://upload.wikimedia.org/wikipedia/en/c/c0/Colorado_Rockies_full_logo.svg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Non-free (fair use),Colorado Rockies
columbus-crew,crest,File:Columbus Crew logo 2021.svg,https://upload.wikimedia.org/wikipedia/commons/d/dc/Columbus_Crew_logo_2021.svg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: Public domain,Columbus Crew
columbus-crew,kit-home,File:Kit body columbus00h.png,https://upload.wikimedia.org/wikipedia/commons/6/66/Kit_body_columbus00h.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC BY-SA,Columbus Crew
como,crest,"File:Calcio Como - logo (Italy, 2019-).svg",https://upload.wikimedia.org/wikipedia/commons/9/99/Calcio_Como_-_logo_%28Italy%2C_2019-%29.svg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: Public domain,Como 1907
como,kit-away,File:Kit body como2627a.png,https://upload.wikimedia.org/wikipedia/commons/8/89/Kit_body_como2627a.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC0,Como 1907
como,kit-home,File:Kit body como2627h.png,https://upload.wikimedia.org/wikipedia/commons/4/47/Kit_body_como2627h.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC0,Como 1907
coventry-city,crest,File:Coventry City FC crest.svg,https://upload.wikimedia.org/wikipedia/en/7/7b/Coventry_City_FC_crest.svg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Non-free (fair use),Coventry City F.C.
coventry-city,kit-away,File:Kit body coventry2627a.png,https://upload.wikimedia.org/wikipedia/commons/8/89/Kit_body_coventry2627a.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC0,Coventry City F.C.
coventry-city,kit-home,File:Kit body coventry2627h.png,https://upload.wikimedia.org/wikipedia/commons/8/8c/Kit_body_coventry2627h.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC0,Coventry City F.C.
coventry-city,kit-third,File:Kit body coventry2627t.png,https://upload.wikimedia.org/wikipedia/commons/8/81/Kit_body_coventry2627t.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC0,Coventry City F.C.
croatia,crest,File:Glenorchy Croatia Crest.png,https://upload.wikimedia.org/wikipedia/en/f/ff/Glenorchy_Croatia_Crest.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Non-free (fair use),Croatia
crystal-palace,crest,File:Kit shorts.svg,https://upload.wikimedia.org/wikipedia/commons/a/af/Kit_shorts.svg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: Public domain,Crystal Palace F.C.
crystal-palace,kit-away,File:Kit body crystalpalace2627a.png,https://upload.wikimedia.org/wikipedia/commons/4/44/Kit_body_crystalpalace2627a.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC0,Crystal Palace F.C.
crystal-palace,kit-home,File:Kit body crystalpalace2627h.png,https://upload.wikimedia.org/wikipedia/commons/2/26/Kit_body_crystalpalace2627h.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC0,Crystal Palace F.C.
crystal-palace,kit-third,File:Kit body crystalpalace2627t.png,https://upload.wikimedia.org/wikipedia/commons/2/2a/Kit_body_crystalpalace2627t.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC0,Crystal Palace F.C.
curacao,crest,File:Curacao Football Federation.svg,https://upload.wikimedia.org/wikipedia/en/1/1c/Curacao_Football_Federation.svg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Non-free (fair use),Curacao
czech-republic,crest,File:Football Association of the Czech Republic logo.svg,https://upload.wikimedia.org/wikipedia/en/e/e1/Football_Association_of_the_Czech_Republic_logo.svg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Non-free (fair use),Czech Republic
dallas-cowboys,crest,File:Dallas Cowboys.svg,https://upload.wikimedia.org/wikipedia/commons/1/15/Dallas_Cowboys.svg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: Non-free (fair use),Dallas Cowboys
dallas-mavericks,crest,File:Dallas Mavericks logo.svg,https://upload.wikimedia.org/wikipedia/en/9/97/Dallas_Mavericks_logo.svg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Non-free (fair use),Dallas Mavericks
dallas-mavericks,kit-away,File:Kit body dallasmavsa.png,https://upload.wikimedia.org/wikipedia/commons/0/05/Kit_body_dallasmavsa.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC BY-SA,Dallas Mavericks
dallas-mavericks,kit-home,File:Kit body basketballlightblueborder.png,https://upload.wikimedia.org/wikipedia/commons/9/9f/Kit_body_basketballlightblueborder.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: GFDL,Dallas Mavericks
dc-united,crest,File:D.C. United logo (2016).svg,https://upload.wikimedia.org/wikipedia/en/3/32/D.C._United_logo_%282016%29.svg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Non-free (fair use),D.C. United
dc-united,kit-away,File:Kit body dcunited25a.png,https://upload.wikimedia.org/wikipedia/commons/0/03/Kit_body_dcunited25a.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC0,D.C. United
dc-united,kit-third,File:Kit body dcunited25t.png,https://upload.wikimedia.org/wikipedia/commons/5/59/Kit_body_dcunited25t.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC0,D.C. United
decathlon-cma-cgm,crest,File:Decathlon CMA CGM logo.png,https://upload.wikimedia.org/wikipedia/en/a/a4/Decathlon_CMA_CGM_logo.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Non-free (fair use),Decathlon CMA CGM Team
denver-broncos,crest,File:Denver Broncos logo.svg,https://upload.wikimedia.org/wikipedia/en/4/44/Denver_Broncos_logo.svg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Non-free (fair use),Denver Broncos
denver-nuggets,crest,File:Denver Nuggets.svg,https://upload.wikimedia.org/wikipedia/en/7/76/Denver_Nuggets.svg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Non-free (fair use),Denver Nuggets
denver-nuggets,kit-home,File:Kit body 2019-20 DEN city.png,https://upload.wikimedia.org/wikipedia/commons/d/de/Kit_body_2019-20_DEN_city.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC BY-SA,Denver Nuggets
deportivo-alaves,crest,File:Deportivo Alaves logo (2020).svg,https://upload.wikimedia.org/wikipedia/en/f/f8/Deportivo_Alaves_logo_%282020%29.svg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Public domain,Deportivo Alavés
deportivo-alaves,kit-away,File:Kit body alaves2627a.png,https://upload.wikimedia.org/wikipedia/commons/2/2a/Kit_body_alaves2627a.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC0,Deportivo Alavés
deportivo-alaves,kit-home,File:Kit body alaves2627h.png,https://upload.wikimedia.org/wikipedia/commons/6/60/Kit_body_alaves2627h.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC0,Deportivo Alavés
deportivo-alaves,kit-third,File:Kit body alaves2627t.png,https://upload.wikimedia.org/wikipedia/commons/a/a6/Kit_body_alaves2627t.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC0,Deportivo Alavés
deportivo-la-coruna,crest,File:Depor.PNG,https://upload.wikimedia.org/wikipedia/commons/0/0f/Depor.PNG?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: Public domain,Deportivo de A Coruña
deportivo-la-coruna,kit-away,File:Kit body depor2627a.png,https://upload.wikimedia.org/wikipedia/commons/6/68/Kit_body_depor2627a.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC0,Deportivo de A Coruña
deportivo-la-coruna,kit-home,File:Kit body depor2627h.png,https://upload.wikimedia.org/wikipedia/commons/3/3a/Kit_body_depor2627h.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC BY-SA,Deportivo de A Coruña
deportivo-la-coruna,kit-third,File:Kit body depor2627t.png,https://upload.wikimedia.org/wikipedia/commons/1/17/Kit_body_depor2627t.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC0,Deportivo de A Coruña
detroit-lions,crest,File:Detroit Lions logo.svg,https://upload.wikimedia.org/wikipedia/en/7/71/Detroit_Lions_logo.svg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Non-free (fair use),Detroit Lions
detroit-pistons,crest,File:Logo of the Detroit Pistons.svg,https://upload.wikimedia.org/wikipedia/commons/c/c9/Logo_of_the_Detroit_Pistons.svg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: Public domain,Detroit Pistons
detroit-pistons,kit-home,File:Kit body detroitpistons association.png,https://upload.wikimedia.org/wikipedia/commons/5/5a/Kit_body_detroitpistons_association.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC BY-SA,Detroit Pistons
detroit-tigers,crest,File:Detroit Tigers logo.svg,https://upload.wikimedia.org/wikipedia/commons/e/e3/Detroit_Tigers_logo.svg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: Public domain,Detroit Tigers
diriyah,crest,File:Diriyah Club Logo.svg,https://upload.wikimedia.org/wikipedia/en/3/32/Diriyah_Club_Logo.svg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Non-free (fair use),Diriyah Club
dr-congo,crest,File:Soccerball current event.svg,https://upload.wikimedia.org/wikipedia/commons/c/ce/Soccerball_current_event.svg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: Unknown,Coupe du Congo (DR Congo)
ecuador,crest,File:Logo de la Federación Ecuatoriana de Fútbol (2).svg,https://upload.wikimedia.org/wikipedia/commons/e/e3/Logo_de_la_Federaci%C3%B3n_Ecuatoriana_de_F%C3%BAtbol_%282%29.svg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: Public domain,Ecuador
ef-education-easypost,crest,"File:Ef Education-EasyPost, 2023 Paris-Nice (52917736703).jpg",https://upload.wikimedia.org/wikipedia/commons/6/67/Ef_Education-EasyPost%2C_2023_Paris-Nice_%2852917736703%29.jpg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC BY-SA,EF Education–EasyPost
egypt,crest,File:Egyptian Russian University logo.png,https://upload.wikimedia.org/wikipedia/en/4/42/Egyptian_Russian_University_logo.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Non-free (fair use),Egypt
eintracht-frankfurt,crest,File:Eintracht Frankfurt crest.svg,https://upload.wikimedia.org/wikipedia/en/7/7e/Eintracht_Frankfurt_crest.svg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Non-free (fair use),Eintracht Frankfurt
eintracht-frankfurt,kit-away,File:Kit body frankfurt2627a.png,https://upload.wikimedia.org/wikipedia/commons/7/7b/Kit_body_frankfurt2627a.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC0,Eintracht Frankfurt
eintracht-frankfurt,kit-home,File:Kit body frankfurt2627h.png,https://upload.wikimedia.org/wikipedia/commons/a/a0/Kit_body_frankfurt2627h.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC0,Eintracht Frankfurt
eintracht-frankfurt,kit-third,File:Kit body frankfurt2627t.png,https://upload.wikimedia.org/wikipedia/commons/6/65/Kit_body_frankfurt2627t.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC0,Eintracht Frankfurt
elche,crest,File:Elche CF logo.svg,https://upload.wikimedia.org/wikipedia/en/a/a7/Elche_CF_logo.svg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Non-free (fair use),Elche CF
elche,kit-away,File:Kit body elche2627a.png,https://upload.wikimedia.org/wikipedia/commons/1/19/Kit_body_elche2627a.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC0,Elche CF
elche,kit-home,File:Kit body elche2627h.png,https://upload.wikimedia.org/wikipedia/commons/3/38/Kit_body_elche2627h.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC0,Elche CF
elche,kit-third,File:Kit body elche2627t.png,https://upload.wikimedia.org/wikipedia/commons/5/56/Kit_body_elche2627t.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC0,Elche CF
england,crest,File:England national football team crest.svg,https://upload.wikimedia.org/wikipedia/en/8/8b/England_national_football_team_crest.svg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Non-free (fair use),England
es-troyes-ac,crest,File:ESTAC Troyes Logo.svg,https://upload.wikimedia.org/wikipedia/commons/a/a9/ESTAC_Troyes_Logo.svg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: Public domain,ES Troyes AC
es-troyes-ac,kit-away,File:Kit body troyes2627a.png,https://upload.wikimedia.org/wikipedia/commons/c/c6/Kit_body_troyes2627a.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC0,ES Troyes AC
es-troyes-ac,kit-home,File:Kit body troyes2526h.png,https://upload.wikimedia.org/wikipedia/commons/4/43/Kit_body_troyes2526h.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC0,ES Troyes AC
es-troyes-ac,kit-third,File:Kit body troyes2526t.png,https://upload.wikimedia.org/wikipedia/commons/e/e8/Kit_body_troyes2526t.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC0,ES Troyes AC
espanyol,crest,File:RCD Espanyol crest.svg,https://upload.wikimedia.org/wikipedia/en/9/92/RCD_Espanyol_crest.svg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Non-free (fair use),RCD Espanyol
espanyol,kit-away,File:Kit body rcde2627a.png,https://upload.wikimedia.org/wikipedia/commons/0/0a/Kit_body_rcde2627a.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC0,RCD Espanyol
espanyol,kit-home,File:Kit body rcde2627h.png,https://upload.wikimedia.org/wikipedia/commons/a/a6/Kit_body_rcde2627h.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC0,RCD Espanyol
espanyol,kit-third,File:Kit body rcde2627t.png,https://upload.wikimedia.org/wikipedia/commons/2/23/Kit_body_rcde2627t.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC0,RCD Espanyol
everton,crest,File:Everton FC logo.svg,https://upload.wikimedia.org/wikipedia/en/7/7c/Everton_FC_logo.svg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Non-free (fair use),Everton F.C.
everton,kit-away,File:Kit body everton2627a.png,https://upload.wikimedia.org/wikipedia/commons/c/c2/Kit_body_everton2627a.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC0,Everton F.C.
everton,kit-home,File:Kit body everton2627h.png,https://upload.wikimedia.org/wikipedia/commons/a/a4/Kit_body_everton2627h.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC0,Everton F.C.
everton,kit-third,File:Kit body everton2627t.png,https://upload.wikimedia.org/wikipedia/commons/a/a5/Kit_body_everton2627t.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC0,Everton F.C.
fc-augsburg,crest,File:FC Augsburg logo.svg,https://upload.wikimedia.org/wikipedia/en/c/c5/FC_Augsburg_logo.svg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Non-free (fair use),FC Augsburg
fc-augsburg,kit-away,File:Kit body augsburg2627a.png,https://upload.wikimedia.org/wikipedia/commons/6/6a/Kit_body_augsburg2627a.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC0,FC Augsburg
fc-augsburg,kit-home,File:Kit body augsburg2627h.png,https://upload.wikimedia.org/wikipedia/commons/e/e5/Kit_body_augsburg2627h.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC0,FC Augsburg
fc-augsburg,kit-third,File:Kit body augsburg2627t.png,https://upload.wikimedia.org/wikipedia/commons/0/0b/Kit_body_augsburg2627t.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC0,FC Augsburg
fc-cincinnati,crest,File:FC Cincinnati primary logo 2018.svg,https://upload.wikimedia.org/wikipedia/en/7/78/FC_Cincinnati_primary_logo_2018.svg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Non-free (fair use),FC Cincinnati
fc-cincinnati,kit-away,File:Kit body cincinnati26aA.png,https://upload.wikimedia.org/wikipedia/commons/4/41/Kit_body_cincinnati26aA.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC0,FC Cincinnati
fc-cincinnati,kit-home,File:Kit body fccincinnati25h.png,https://upload.wikimedia.org/wikipedia/commons/a/a5/Kit_body_fccincinnati25h.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC0,FC Cincinnati
fc-dallas,crest,File:FC Dallas logo.svg,https://upload.wikimedia.org/wikipedia/en/c/c9/FC_Dallas_logo.svg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Non-free (fair use),FC Dallas
fc-dallas,kit-home,File:Kit body BURN 00p.png,https://upload.wikimedia.org/wikipedia/commons/0/03/Kit_body_BURN_00p.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC0,FC Dallas
fc-koln,crest,File:1. FC Koeln Logo 2014–.svg,https://upload.wikimedia.org/wikipedia/commons/0/01/1._FC_Koeln_Logo_2014%E2%80%93.svg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC BY-SA,1. FC Köln
fc-koln,kit-away,File:Kit body koeln2627a.png,https://upload.wikimedia.org/wikipedia/commons/8/83/Kit_body_koeln2627a.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC0,1. FC Köln
fc-koln,kit-home,File:Kit body koeln2627h.png,https://upload.wikimedia.org/wikipedia/commons/2/28/Kit_body_koeln2627h.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC0,1. FC Köln
fc-koln,kit-third,File:Kit body koeln2627t.png,https://upload.wikimedia.org/wikipedia/commons/9/9b/Kit_body_koeln2627t.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC0,1. FC Köln
fc-lorient,crest,File:FC Lorient logo.svg,https://upload.wikimedia.org/wikipedia/en/4/4c/FC_Lorient_logo.svg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Non-free (fair use),FC Lorient
fc-lorient,kit-away,File:Kit body lorient2526a.png,https://upload.wikimedia.org/wikipedia/commons/a/af/Kit_body_lorient2526a.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC0,FC Lorient
fc-lorient,kit-home,File:Kit body lorient2526h.png,https://upload.wikimedia.org/wikipedia/commons/a/ad/Kit_body_lorient2526h.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC0,FC Lorient
fc-lorient,kit-third,File:Kit body lorient2526t.png,https://upload.wikimedia.org/wikipedia/commons/5/5a/Kit_body_lorient2526t.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC0,FC Lorient
fenerbahce,crest,File:Fenerbahçe.svg,https://upload.wikimedia.org/wikipedia/en/3/39/Fenerbah%C3%A7e.svg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Non-free (fair use),Fenerbahçe S.K. (football)
fenerbahce,kit-away,File:Kit body fenerbahce2627a.png,https://upload.wikimedia.org/wikipedia/commons/d/da/Kit_body_fenerbahce2627a.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC0,Fenerbahçe S.K. (football)
fenerbahce,kit-home,File:Kit body fenerbahce2627h.png,https://upload.wikimedia.org/wikipedia/commons/9/9d/Kit_body_fenerbahce2627h.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC0,Fenerbahçe S.K. (football)
fenerbahce,kit-third,File:Kit body fenerbahce2627t.png,https://upload.wikimedia.org/wikipedia/commons/6/6b/Kit_body_fenerbahce2627t.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC0,Fenerbahçe S.K. (football)
ferrari,crest,File:Scuderia Ferrari HP logo 24.svg,https://upload.wikimedia.org/wikipedia/en/d/df/Scuderia_Ferrari_HP_logo_24.svg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Non-free (fair use),Scuderia Ferrari
feyenoord,crest,File:Feyenoord logo since 2024.svg,https://upload.wikimedia.org/wikipedia/commons/f/f9/Feyenoord_logo_since_2024.svg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: Public domain,Feyenoord
feyenoord,kit-away,File:Kit body feyenoord2627a.png,https://upload.wikimedia.org/wikipedia/commons/a/aa/Kit_body_feyenoord2627a.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC0,Feyenoord
feyenoord,kit-home,File:Kit body feyenoord2627h.png,https://upload.wikimedia.org/wikipedia/commons/a/a1/Kit_body_feyenoord2627h.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC0,Feyenoord
feyenoord,kit-third,File:Kit body feyenoord2627t.png,https://upload.wikimedia.org/wikipedia/commons/9/99/Kit_body_feyenoord2627t.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC0,Feyenoord
fiorentina,crest,"File:ACF Fiorentina - logo (Italy, 2022).svg",https://upload.wikimedia.org/wikipedia/commons/8/8c/ACF_Fiorentina_-_logo_%28Italy%2C_2022%29.svg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: Public domain,ACF Fiorentina
fiorentina,kit-away,File:Kit body fiorentina2627a.png,https://upload.wikimedia.org/wikipedia/commons/f/f1/Kit_body_fiorentina2627a.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC0,ACF Fiorentina
fiorentina,kit-home,File:Kit body fiorentina2627h.png,https://upload.wikimedia.org/wikipedia/commons/2/25/Kit_body_fiorentina2627h.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC0,ACF Fiorentina
france,crest,"File:Logo of ESSTIN, France.png",https://upload.wikimedia.org/wikipedia/en/6/6b/Logo_of_ESSTIN%2C_France.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Non-free (fair use),France
frosinone,crest,File:Frosinone Calcio logo.svg,https://upload.wikimedia.org/wikipedia/en/0/0b/Frosinone_Calcio_logo.svg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Non-free (fair use),Frosinone Calcio
fulham,crest,File:Fulham FC (shield).svg,https://upload.wikimedia.org/wikipedia/en/e/eb/Fulham_FC_%28shield%29.svg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Public domain,Fulham F.C.
fulham,kit-away,File:Kit body fulham2627a.png,https://upload.wikimedia.org/wikipedia/commons/2/20/Kit_body_fulham2627a.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC0,Fulham F.C.
fulham,kit-home,File:Kit body fulham2627h.png,https://upload.wikimedia.org/wikipedia/commons/f/f3/Kit_body_fulham2627h.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC0,Fulham F.C.
fulham,kit-third,File:Kit body fulham2627t.png,https://upload.wikimedia.org/wikipedia/commons/1/11/Kit_body_fulham2627t.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC0,Fulham F.C.
galatasaray,crest,File:Galatasaray SK football logo.png,https://upload.wikimedia.org/wikipedia/en/4/49/Galatasaray_SK_football_logo.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Public domain,Galatasaray S.K. (football)
galatasaray,kit-away,File:Kit body galatasaray2627a.png,https://upload.wikimedia.org/wikipedia/commons/9/92/Kit_body_galatasaray2627a.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC0,Galatasaray S.K. (football)
galatasaray,kit-home,File:Kit body galatasaray2627h.png,https://upload.wikimedia.org/wikipedia/commons/9/9f/Kit_body_galatasaray2627h.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC0,Galatasaray S.K. (football)
galatasaray,kit-third,File:Kit body galatasaray2627t.png,https://upload.wikimedia.org/wikipedia/commons/d/d8/Kit_body_galatasaray2627t.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC0,Galatasaray S.K. (football)
genoa,crest,File:Genoa CFC crest.svg,https://upload.wikimedia.org/wikipedia/en/2/2c/Genoa_CFC_crest.svg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Non-free (fair use),Genoa CFC
genoa,kit-away,File:Kit body genoa2627a.png,https://upload.wikimedia.org/wikipedia/commons/b/b6/Kit_body_genoa2627a.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC0,Genoa CFC
genoa,kit-home,File:Kit body genoa2627h.png,https://upload.wikimedia.org/wikipedia/commons/f/f1/Kit_body_genoa2627h.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC0,Genoa CFC
genoa,kit-third,File:Kit body genoa2526t.png,https://upload.wikimedia.org/wikipedia/commons/0/0a/Kit_body_genoa2526t.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC0,Genoa CFC
germany,crest,File:University of Mississippi logo.svg,https://upload.wikimedia.org/wikipedia/en/4/42/University_of_Mississippi_logo.svg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Public domain,Germany
getafe,crest,File:Getafe logo.svg,https://upload.wikimedia.org/wikipedia/en/4/46/Getafe_logo.svg?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Non-free (fair use),Getafe CF
getafe,kit-away,File:Kit body getafe2627a.png,https://upload.wikimedia.org/wikipedia/commons/e/e6/Kit_body_getafe2627a.png?utm_source=en.wikipedia.org&utm_campaign=imageinfo&utm_content=original,Commons: CC0,Getafe CF
